program_id,step_id,prefill_s,decode_s,pause_s,tool_call_s,kv_hit_rate,completed_at
8,1,0.1631,7.8576,0.0001,0.0,0.7094,1768287165.842
0,1,0.5321,12.69,0.0001,0.0,0.6662,1768287170.2912
6,1,0.0544,13.7235,0.0001,0.0,0.9894,1768287170.3588
10,1,0.0804,12.1221,0.0001,0.0,0.995,1768287170.4912
7,1,0.4845,13.1682,0.0001,0.0,0.3629,1768287170.6273
5,1,0.0425,14.5354,0.0001,0.0,0.996,1768287171.1373
12,1,0.1612,17.3365,0.0001,0.0,0.7302,1768287176.359
13,1,0.1773,20.5418,0.0001,0.0,0.6999,1768287179.8734
22,1,0.2341,17.8394,0.0001,0.0,0.7517,1768287179.9914
21,1,0.095,20.7467,0.0001,0.0,0.9883,1768287182.247
8,2,0.9117,17.2708,0.0002,0.7162,0.4123,1768287184.7441
3,1,0.0506,28.8069,0.0001,0.0,0.9939,1768287185.267
23,1,0.3456,24.6754,0.0001,0.0,0.9985,1768287186.8271
12,2,1.1614,14.5123,0.0001,0.4021,0.8461,1768287192.4391
7,2,4.7354,17.1794,0.0002,0.9906,0.5689,1768287193.5335
13,2,0.8917,12.3268,0.0001,0.4468,0.4276,1768287193.5397
26,1,0.1106,30.4017,0.0001,0.0,0.989,1768287193.9321
6,2,0.8669,21.7571,0.0001,1.077,0.4323,1768287194.0637
17,1,0.0726,37.8187,0.0001,0.0,0.9954,1768287198.5539
10,2,4.7488,22.6352,0.0001,1.1155,0.4395,1768287198.9931
27,1,0.106,37.5255,0.0001,0.0,0.9968,1768287201.4065
8,3,0.2148,16.2597,0.0002,0.4783,0.9746,1768287201.6982
32,1,0.3321,39.3385,0.0001,0.0,0.993,1768287205.817
0,2,4.8505,29.4604,0.0001,1.2126,0.4341,1768287205.8182
34,1,1.1177,37.8687,0.0001,0.0,0.991,1768287205.8188
23,2,1.0128,20.7792,0.0001,0.3958,0.4284,1768287209.0168
18,1,0.4656,48.3916,0.0001,0.0,0.3975,1768287210.4185
2,1,0.2765,45.5379,0.0001,0.0,0.6919,1768287212.0162
21,2,0.9577,30.2584,0.0001,0.4427,0.3956,1768287213.9078
31,1,0.221,47.2601,0.0001,0.0,0.6588,1768287213.9125
17,2,0.3166,14.9916,0.0001,0.375,0.8075,1768287214.238
46,1,4.5568,38.0403,0.0001,0.0,0.9952,1768287214.4011
4,1,0.8244,47.8673,0.0001,0.0,0.6022,1768287215.817
28,1,1.2949,38.3262,0.0001,0.0,0.7279,1768287215.8185
6,3,3.5867,17.9027,0.0002,0.421,0.865,1768287215.977
5,2,4.5714,39.7803,0.0002,0.646,0.461,1768287216.1374
29,1,0.2345,50.9722,0.0001,0.0,0.6756,1768287217.2886
3,2,1.1306,30.4619,0.0001,0.4312,0.5075,1768287217.2934
38,1,0.1396,48.2226,0.0003,0.0,0.9993,1768287218.8502
32,2,1.3881,11.6035,0.0001,0.3821,0.8549,1768287219.1921
