Time,GPU0_Mem,GPU0_Util,GPU1_Mem,GPU1_Util,GPU2_Mem,GPU2_Util,GPU3_Mem,GPU3_Util,GPU4_Mem,GPU4_Util,GPU5_Mem,GPU5_Util,GPU6_Mem,GPU6_Util,GPU7_Mem,GPU7_Util,CPU_Mem(GiB),Load,CPU_Util(%),Disk_Overlay(GiB)
03:39:19,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,91.6,16.10,21.9,941.0
03:39:21,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,91.8,15.93,26.3,941.0
03:39:23,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,91.9,15.93,22.4,941.0
03:39:25,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,91.9,15.93,25.3,941.0
03:39:27,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,92.0,15.77,22.0,941.0
03:39:30,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,92.1,15.77,21.9,941.0
03:39:32,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,92.3,15.71,22.0,941.0
03:39:34,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,92.8,15.71,25.5,941.0
03:39:36,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,92.8,15.58,22.3,941.0
03:39:38,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,92.9,15.58,25.5,941.0
03:39:40,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,93.0,15.58,23.0,941.0
03:39:43,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,93.1,15.69,22.9,941.0
03:39:45,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,94.9,15.69,26.7,941.0
03:39:48,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,95.7,16.27,26.4,941.0
03:39:51,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,96.2,17.37,29.2,941.0
03:39:53,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,96.8,17.37,31.1,941.0
03:39:55,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,97.4,17.37,32.9,941.0
03:40:00,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,100.8,17.66,26.3,941.0
03:40:04,4,0,4,0,4,0,4,0,4,0,1,0,1,0,1,0,108.6,18.17,23.0,941.0
03:40:07,626,0,626,0,626,0,626,0,626,0,626,0,626,0,626,0,109.6,18.40,26.1,941.0
03:40:09,1338,0,1338,2,1338,0,1338,2,1338,1,1338,0,1338,1,1338,0,111.9,18.40,27.7,941.0
03:40:11,2146,0,2146,0,2146,0,2146,0,2146,0,2146,0,2146,0,2146,0,112.1,19.09,31.4,941.0
03:40:13,2274,0,2480,0,2460,0,2274,0,2274,0,2274,0,2274,0,2274,0,121.6,19.09,30.6,941.0
03:40:15,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,1,45174,0,122.9,19.09,28.6,941.0
03:40:18,45174,0,45174,1,45174,1,45174,0,45174,1,45174,1,45174,1,45174,1,122.9,19.40,24.9,941.0
03:40:20,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,122.9,19.40,25.3,941.0
03:40:22,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,122.9,19.61,26.0,941.0
03:40:24,45174,1,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,122.9,19.61,25.4,941.0
03:40:26,45174,0,45174,1,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,123.0,19.96,25.1,941.0
03:40:28,45174,0,45174,0,45174,0,45174,1,45174,1,45174,0,45174,1,45174,1,122.9,19.96,24.6,941.0
03:40:30,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,123.0,19.96,25.4,941.0
03:40:32,45174,1,45174,1,45174,0,45174,0,45174,1,45174,0,45174,1,45174,0,123.0,20.04,25.4,941.0
03:40:34,45174,0,45174,0,45174,0,45174,1,45174,0,45174,1,45174,0,45174,1,123.0,20.04,23.5,941.0
03:40:37,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,123.0,20.44,23.9,941.0
03:40:39,45174,0,45174,0,45174,0,45174,1,45174,1,45174,0,45174,0,45174,1,123.0,20.44,25.1,941.0
03:40:41,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,122.9,20.57,24.7,941.0
03:40:43,45174,1,45174,1,45174,0,45174,0,45174,0,45174,0,45174,1,45174,0,123.0,20.57,24.7,941.0
03:40:45,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,122.9,20.57,24.8,941.0
03:40:47,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,45174,0,122.9,20.68,24.5,941.0
